review,sentiment,insights,insights_conv,key_points,suggestions
 Location was great rooms were clean and comfortable Nothing fancy but had everything we needed ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Location was great"",""Rooms were clean and comfortable"",""Had everything we needed""],""suggestions"":""Consider adding some decorative elements to enhance the ambiance.""}","{'sentiment': 'positive', 'key_points': ['Location was great', 'Rooms were clean and comfortable', 'Had everything we needed'], 'suggestions': 'Consider adding some decorative elements to enhance the ambiance.'}","['Location was great', 'Rooms were clean and comfortable', 'Had everything we needed']",Consider adding some decorative elements to enhance the ambiance.
 It was amazing just a bit far but amazing,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""amazing"",""a bit far""]}","{'sentiment': 'positive', 'key_points': ['amazing', 'a bit far']}","['amazing', 'a bit far']",No suggestion
 Hotel was old fashioned and dated rooms were small The bathroom was very nice and clean except the hot water was not very good so the shower in the morning was pretty much cold Lifts in the hotel just looked completely unreliable ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""hotel was old fashioned"",""dated rooms were small"",""bathroom was nice and clean"",""hot water was not very good"",""shower in the morning was cold"",""lifts looked unreliable""],""suggestions"":""Consider renovating the rooms and improving the hot water system.""}","{'sentiment': 'negative', 'key_points': ['hotel was old fashioned', 'dated rooms were small', 'bathroom was nice and clean', 'hot water was not very good', 'shower in the morning was cold', 'lifts looked unreliable'], 'suggestions': 'Consider renovating the rooms and improving the hot water system.'}","['hotel was old fashioned', 'dated rooms were small', 'bathroom was nice and clean', 'hot water was not very good', 'shower in the morning was cold', 'lifts looked unreliable']",Consider renovating the rooms and improving the hot water system.
 The location was good ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The location was good""]}","{'sentiment': 'positive', 'key_points': ['The location was good']}",['The location was good'],No suggestion
 The staff were friendly and professional and the hotel was stunning ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""friendly staff"",""professional behavior"",""stunning hotel""]}","{'sentiment': 'positive', 'key_points': ['friendly staff', 'professional behavior', 'stunning hotel']}","['friendly staff', 'professional behavior', 'stunning hotel']",No suggestion
 Double bed with 2 single matresses was uncomfortable shower cubicle dangerous attitude of staff very poor Room very tired ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Double bed with 2 single mattresses was uncomfortable"",""Shower cubicle was dangerous"",""Attitude of staff very poor"",""Room very tired""]}","{'sentiment': 'negative', 'key_points': ['Double bed with 2 single mattresses was uncomfortable', 'Shower cubicle was dangerous', 'Attitude of staff very poor', 'Room very tired']}","['Double bed with 2 single mattresses was uncomfortable', 'Shower cubicle was dangerous', 'Attitude of staff very poor', 'Room very tired']",No suggestion
 It might have been better for my nerves not to have had the fire alarm sounding at 9 00 in the evening for a false alarm but better safe than sorry ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""false alarm at 9:00 PM"",""better safe than sorry""],""suggestions"":""Consider informing residents about false alarms and ensuring alarms are tested more quietly or at less stressful times.""}","{'sentiment': 'neutral', 'key_points': ['false alarm at 9:00 PM', 'better safe than sorry'], 'suggestions': 'Consider informing residents about false alarms and ensuring alarms are tested more quietly or at less stressful times.'}","['false alarm at 9:00 PM', 'better safe than sorry']",Consider informing residents about false alarms and ensuring alarms are tested more quietly or at less stressful times.
 Lovely beds quiet rooms Attentive staff,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Lovely beds"",""Quiet rooms"",""Attentive staff""]}","{'sentiment': 'positive', 'key_points': ['Lovely beds', 'Quiet rooms', 'Attentive staff']}","['Lovely beds', 'Quiet rooms', 'Attentive staff']",No suggestion
 The service and the food in the Bistro Restaurant were very good ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""good service"",""good food""]}","{'sentiment': 'positive', 'key_points': ['good service', 'good food']}","['good service', 'good food']",No suggestion
 Fantastic breakfast bed comfortable modern foyer,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Fantastic breakfast"",""Bed comfortable"",""Modern foyer""]}","{'sentiment': 'positive', 'key_points': ['Fantastic breakfast', 'Bed comfortable', 'Modern foyer']}","['Fantastic breakfast', 'Bed comfortable', 'Modern foyer']",No suggestion
 Nothing as usual,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Nothing as usual""]}","{'sentiment': 'neutral', 'key_points': ['Nothing as usual']}",['Nothing as usual'],No suggestion
 Rude reception staff On arrival I was asked Why are you here in a very unfriendly manner The whole check in process was cold and uncomfortable ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Rude reception staff"",""Unfriendly greeting upon arrival"",""Cold and uncomfortable check-in process""],""suggestions"":""Improve staff training on customer service to ensure a more welcoming and friendly check-in experience.""}","{'sentiment': 'negative', 'key_points': ['Rude reception staff', 'Unfriendly greeting upon arrival', 'Cold and uncomfortable check-in process'], 'suggestions': 'Improve staff training on customer service to ensure a more welcoming and friendly check-in experience.'}","['Rude reception staff', 'Unfriendly greeting upon arrival', 'Cold and uncomfortable check-in process']",Improve staff training on customer service to ensure a more welcoming and friendly check-in experience.
 Not a long enough stay ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Not a long enough stay""]}","{'sentiment': 'negative', 'key_points': ['Not a long enough stay']}",['Not a long enough stay'],No suggestion
 Gym was not easy to find but not really time to use it anyway ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Gym was hard to find"",""Did not have time to use the gym""]}","{'sentiment': 'neutral', 'key_points': ['Gym was hard to find', 'Did not have time to use the gym']}","['Gym was hard to find', 'Did not have time to use the gym']",No suggestion
 Breakfast was expensive ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Breakfast was expensive""]}","{'sentiment': 'negative', 'key_points': ['Breakfast was expensive']}",['Breakfast was expensive'],No suggestion
 Breakfast was expensive ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Breakfast was expensive""]}","{'sentiment': 'negative', 'key_points': ['Breakfast was expensive']}",['Breakfast was expensive'],No suggestion
 breakfast which i thought i had payed for when booking was very expensive and down in the ballroom ,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""breakfast was thought to be included"",""breakfast was very expensive"",""breakfast was located in the ballroom""]}","{'sentiment': 'negative', 'key_points': ['breakfast was thought to be included', 'breakfast was very expensive', 'breakfast was located in the ballroom']}","['breakfast was thought to be included', 'breakfast was very expensive', 'breakfast was located in the ballroom']",No suggestion
 Great location Not far from either stations and very welcoming,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Great location"",""Not far from either stations"",""Very welcoming""]}","{'sentiment': 'positive', 'key_points': ['Great location', 'Not far from either stations', 'Very welcoming']}","['Great location', 'Not far from either stations', 'Very welcoming']",No suggestion
 I paid for wifi but they charge me from my account But not working,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Paid for Wi-Fi service"",""Charged from account"",""Wi-Fi not working""],""suggestions"":""Improve service reliability and ensure customers are informed about any issues.""}","{'sentiment': 'negative', 'key_points': ['Paid for Wi-Fi service', 'Charged from account', 'Wi-Fi not working'], 'suggestions': 'Improve service reliability and ensure customers are informed about any issues.'}","['Paid for Wi-Fi service', 'Charged from account', 'Wi-Fi not working']",Improve service reliability and ensure customers are informed about any issues.
 The bed is super comfortable and the room very cozy Pool and jacuzzi made our trip so relaxing too Best London hotel experience so far ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""super comfortable bed"",""cozy room"",""relaxing pool"",""jacuzzi"",""best hotel experience in London""]}","{'sentiment': 'positive', 'key_points': ['super comfortable bed', 'cozy room', 'relaxing pool', 'jacuzzi', 'best hotel experience in London']}","['super comfortable bed', 'cozy room', 'relaxing pool', 'jacuzzi', 'best hotel experience in London']",No suggestion
 Everything bar the room was great Not enough room to swing a cat in our Superior Double certainly not enough room to put up a travel cot Had to put the bedside table in the bathroom and shift the bed over to the window to fit the cot in Had to call for a cleaner to get rid of the thick dust after moving the bed Window 6 floors up wasn t locked or restricted opening not great with a child and bed next to the window ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Not enough room to swing a cat in the Superior Double room"",""Insufficient space for a travel cot"",""Bedside table had to be moved to the bathroom"",""Bed had to be shifted to fit the cot"",""Thick dust found after moving the bed"",""Window 6 floors up wasn’t locked or restricted opening"",""Concern for child safety due to bed placement next to the window""],""suggestions"":""Increase room size or layout optimization to accommodate a travel cot. Ensure thorough cleaning before guests arrive.""}","{'sentiment': 'negative', 'key_points': ['Not enough room to swing a cat in the Superior Double room', 'Insufficient space for a travel cot', 'Bedside table had to be moved to the bathroom', 'Bed had to be shifted to fit the cot', 'Thick dust found after moving the bed', 'Window 6 floors up wasn’t locked or restricted opening', 'Concern for child safety due to bed placement next to the window'], 'suggestions': 'Increase room size or layout optimization to accommodate a travel cot. Ensure thorough cleaning before guests arrive.'}","['Not enough room to swing a cat in the Superior Double room', 'Insufficient space for a travel cot', 'Bedside table had to be moved to the bathroom', 'Bed had to be shifted to fit the cot', 'Thick dust found after moving the bed', 'Window 6 floors up wasn’t locked or restricted opening', 'Concern for child safety due to bed placement next to the window']",Increase room size or layout optimization to accommodate a travel cot. Ensure thorough cleaning before guests arrive.
 They over charged me The agreed rate was 165 They required me to pay over 200 So there was some failure of communication between yourselves and the hotel I had not taken the details to London and couldn t remember offhand so I paid the increase The hotel would no doubt say that we had breakfast on top which is correct but only because they told us it was included in the rate ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Overcharged by the hotel"",""Agreed rate was 165, charged over 200"",""Failure of communication between the service provider and the hotel"",""Breakfast included in the rate according to the hotel"",""Customer had to pay the increased charge without confirmation""]}","{'sentiment': 'negative', 'key_points': ['Overcharged by the hotel', 'Agreed rate was 165, charged over 200', 'Failure of communication between the service provider and the hotel', 'Breakfast included in the rate according to the hotel', 'Customer had to pay the increased charge without confirmation']}","['Overcharged by the hotel', 'Agreed rate was 165, charged over 200', 'Failure of communication between the service provider and the hotel', 'Breakfast included in the rate according to the hotel', 'Customer had to pay the increased charge without confirmation']",No suggestion
 Excellent stay staff were so polite and helpful The room was immaculate and the views to die for,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Excellent stay"",""Staff were polite and helpful"",""Room was immaculate"",""Views are amazing""]}","{'sentiment': 'positive', 'key_points': ['Excellent stay', 'Staff were polite and helpful', 'Room was immaculate', 'Views are amazing']}","['Excellent stay', 'Staff were polite and helpful', 'Room was immaculate', 'Views are amazing']",No suggestion
 Shower door difficult to operate,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Shower door is difficult to operate"",""User experiences frustration"",""Inconvenient to use""],""suggestions"":""Improve the design for smoother operation or provide clearer installation instructions.""}","{'sentiment': 'negative', 'key_points': ['Shower door is difficult to operate', 'User experiences frustration', 'Inconvenient to use'], 'suggestions': 'Improve the design for smoother operation or provide clearer installation instructions.'}","['Shower door is difficult to operate', 'User experiences frustration', 'Inconvenient to use']",Improve the design for smoother operation or provide clearer installation instructions.
 Hotel was old room was uncomfortable ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Hotel was old"",""Room was uncomfortable""],""suggestions"":""Consider renovating the hotel and upgrading the room amenities for improved comfort.""}","{'sentiment': 'negative', 'key_points': ['Hotel was old', 'Room was uncomfortable'], 'suggestions': 'Consider renovating the hotel and upgrading the room amenities for improved comfort.'}","['Hotel was old', 'Room was uncomfortable']",Consider renovating the hotel and upgrading the room amenities for improved comfort.
 The breakfast was fantastic ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The breakfast was fantastic""]}","{'sentiment': 'positive', 'key_points': ['The breakfast was fantastic']}",['The breakfast was fantastic'],No suggestion
 No mini bar,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""No mini bar""]}","{'sentiment': 'negative', 'key_points': ['No mini bar']}",['No mini bar'],No suggestion
 Breakfast expensive Went over the road for excellent breakfast half price ,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""Breakfast was expensive"",""Found a better and cheaper option across the road""],""suggestions"":""Consider lowering breakfast prices or enhancing the value offered.""}","{'sentiment': 'negative', 'key_points': ['Breakfast was expensive', 'Found a better and cheaper option across the road'], 'suggestions': 'Consider lowering breakfast prices or enhancing the value offered.'}","['Breakfast was expensive', 'Found a better and cheaper option across the road']",Consider lowering breakfast prices or enhancing the value offered.
 Assisstance communication,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[],""suggestions"":""Enhance clarity in communication and improve responsiveness to queries.""}","{'sentiment': 'neutral', 'key_points': [], 'suggestions': 'Enhance clarity in communication and improve responsiveness to queries.'}",[],Enhance clarity in communication and improve responsiveness to queries.
 Staff were helpful and friendly,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Staff were helpful"",""Staff were friendly""]}","{'sentiment': 'positive', 'key_points': ['Staff were helpful', 'Staff were friendly']}","['Staff were helpful', 'Staff were friendly']",No suggestion
 The room I was given is the corner room in lower ground floor It wasn t sound proof at all I could hear people e g Cleaning staff etc talking outside and tapping their foot I called the reception to change my room but they assured me to ask people not to talk I Front of room But you can t stop people walking The wifi was very very weak and also I couldn t use my phone 4g due to lower ground floor I have e planned everything next morning up the manager but not a good outcome I will not recommend anyone to go there ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Room location in lower ground floor"",""Not sound proof"",""Could hear cleaning staff talking"",""Weak wifi"",""Inaccessible 4G due to location"",""Unhelpful reception staff"",""Negative experience overall""],""suggestions"":""Improve sound insulation, strengthen WiFi connectivity, provide better room options.""}","{'sentiment': 'negative', 'key_points': ['Room location in lower ground floor', 'Not sound proof', 'Could hear cleaning staff talking', 'Weak wifi', 'Inaccessible 4G due to location', 'Unhelpful reception staff', 'Negative experience overall'], 'suggestions': 'Improve sound insulation, strengthen WiFi connectivity, provide better room options.'}","['Room location in lower ground floor', 'Not sound proof', 'Could hear cleaning staff talking', 'Weak wifi', 'Inaccessible 4G due to location', 'Unhelpful reception staff', 'Negative experience overall']","Improve sound insulation, strengthen WiFi connectivity, provide better room options."
 Beds were comfortable although they rolled away from the wall when sitting up in bed ,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[""Beds were comfortable"",""Beds rolled away from the wall when sitting up in bed""],""suggestions"":""Consider adding anti-slip mechanisms or attachments to prevent the beds from rolling away.""}","{'sentiment': 'neutral', 'key_points': ['Beds were comfortable', 'Beds rolled away from the wall when sitting up in bed'], 'suggestions': 'Consider adding anti-slip mechanisms or attachments to prevent the beds from rolling away.'}","['Beds were comfortable', 'Beds rolled away from the wall when sitting up in bed']",Consider adding anti-slip mechanisms or attachments to prevent the beds from rolling away.
 The Spa should be a place of tranquility The hotel needs to stop people using mobile phones there and especially use of cameras,POSITIVE,"{""sentiment"":""negative"",""key_points"":[""Spa should be a place of tranquility"",""Hotel needs to stop people using mobile phones"",""Cameras should not be allowed in the spa""]}","{'sentiment': 'negative', 'key_points': ['Spa should be a place of tranquility', 'Hotel needs to stop people using mobile phones', 'Cameras should not be allowed in the spa']}","['Spa should be a place of tranquility', 'Hotel needs to stop people using mobile phones', 'Cameras should not be allowed in the spa']",No suggestion
 at first the location was a bit hard to find But everything else is superb ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Location was hard to find"",""Everything else is superb""]}","{'sentiment': 'positive', 'key_points': ['Location was hard to find', 'Everything else is superb']}","['Location was hard to find', 'Everything else is superb']",No suggestion
 I was given a free upgrade,NEGATIVE,"{""sentiment"":""positive"",""key_points"":[""Free upgrade was provided""],""suggestions"":""Continue offering free upgrades to enhance customer satisfaction.""}","{'sentiment': 'positive', 'key_points': ['Free upgrade was provided'], 'suggestions': 'Continue offering free upgrades to enhance customer satisfaction.'}",['Free upgrade was provided'],Continue offering free upgrades to enhance customer satisfaction.
 The underground was a 25minute walk from the underground we did not know about the ferry until we arrived The room was not particularly large and no view to look out onto ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""The location was far from the underground station, requiring a 25-minute walk."",""Lack of information about the ferry service until arrival."",""The room size was small."",""There was no view from the room.""]}","{'sentiment': 'negative', 'key_points': ['The location was far from the underground station, requiring a 25-minute walk.', 'Lack of information about the ferry service until arrival.', 'The room size was small.', 'There was no view from the room.']}","['The location was far from the underground station, requiring a 25-minute walk.', 'Lack of information about the ferry service until arrival.', 'The room size was small.', 'There was no view from the room.']",No suggestion
 Polite helpful staff Quiet location Very comfortable ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Polite helpful staff"",""Quiet location"",""Very comfortable""]}","{'sentiment': 'positive', 'key_points': ['Polite helpful staff', 'Quiet location', 'Very comfortable']}","['Polite helpful staff', 'Quiet location', 'Very comfortable']",No suggestion
 Very comfortable bed,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""comfortable bed""]}","{'sentiment': 'positive', 'key_points': ['comfortable bed']}",['comfortable bed'],No suggestion
 Ref Room 109 1 Strong noise specially from bathroom s ceiling spreading into bedroom at night seriously disturbing proper sleep Cause aeration system 2 Poor lightening system ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Strong noise from bathroom ceiling"",""Disturbance during sleep"",""Issues with aeration system"",""Poor lighting system""],""suggestions"":""Improve sound insulation and address aeration system issues. Enhance the lighting system for better visibility.""}","{'sentiment': 'negative', 'key_points': ['Strong noise from bathroom ceiling', 'Disturbance during sleep', 'Issues with aeration system', 'Poor lighting system'], 'suggestions': 'Improve sound insulation and address aeration system issues. Enhance the lighting system for better visibility.'}","['Strong noise from bathroom ceiling', 'Disturbance during sleep', 'Issues with aeration system', 'Poor lighting system']",Improve sound insulation and address aeration system issues. Enhance the lighting system for better visibility.
 The fixed tablet controllers were a bit inconvenient to use ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""The fixed tablet controllers were inconvenient to use.""]}","{'sentiment': 'negative', 'key_points': ['The fixed tablet controllers were inconvenient to use.']}",['The fixed tablet controllers were inconvenient to use.'],No suggestion
 The bathroom had a frosted glass door with no lock which may be off putting for some people ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Bathroom had a frosted glass door"",""No lock on the door"",""May be off putting for some people""],""suggestions"":""Consider installing a lock for added privacy.""}","{'sentiment': 'neutral', 'key_points': ['Bathroom had a frosted glass door', 'No lock on the door', 'May be off putting for some people'], 'suggestions': 'Consider installing a lock for added privacy.'}","['Bathroom had a frosted glass door', 'No lock on the door', 'May be off putting for some people']",Consider installing a lock for added privacy.
 Very Convenient,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very Convenient""]}","{'sentiment': 'positive', 'key_points': ['Very Convenient']}",['Very Convenient'],No suggestion
 Unhealthy room service options eat fish vegetarian was not told Xmas parties in whilst booking so could not dine from restaurant or order room service off the menu no one seemed to know if restaurant open to guests asked 5 different people Asked for new key as mine faulty was not asked for name etc just my room number ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Unhealthy room service options"",""Limited dining due to Christmas parties"",""Lack of communication regarding restaurant availability"",""Inconsistent information from staff"",""Faulty key replacement process""]}","{'sentiment': 'negative', 'key_points': ['Unhealthy room service options', 'Limited dining due to Christmas parties', 'Lack of communication regarding restaurant availability', 'Inconsistent information from staff', 'Faulty key replacement process']}","['Unhealthy room service options', 'Limited dining due to Christmas parties', 'Lack of communication regarding restaurant availability', 'Inconsistent information from staff', 'Faulty key replacement process']",No suggestion
 We stayed at the weekend and there is totally free parking on the side road all of Saturday and Sunday It s also not in congestion zone so we left by 8 30 with no parking charges The room was super high tech and totally entertaining The spa is basic but clean and fun with lovely fresh infused water available ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Free parking available all weekend"",""Not in congestion zone"",""High-tech and entertaining room"",""Clean and fun spa"",""Fresh infused water available""]}","{'sentiment': 'positive', 'key_points': ['Free parking available all weekend', 'Not in congestion zone', 'High-tech and entertaining room', 'Clean and fun spa', 'Fresh infused water available']}","['Free parking available all weekend', 'Not in congestion zone', 'High-tech and entertaining room', 'Clean and fun spa', 'Fresh infused water available']",No suggestion
 This was the second time we have stayed there Very friendly staff Room comforts Nearby to everything we visited Beautiful hotel very clean On our second visit we were upgraded it was a very pleasant surprise and loved the room and view Spectacular Thank you ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Second time staying"",""Very friendly staff"",""Room comforts"",""Nearby to everything visited"",""Beautiful hotel"",""Very clean"",""Upgraded room on second visit"",""Pleasant surprise"",""Loved the room and view"",""Spectacular""]}","{'sentiment': 'positive', 'key_points': ['Second time staying', 'Very friendly staff', 'Room comforts', 'Nearby to everything visited', 'Beautiful hotel', 'Very clean', 'Upgraded room on second visit', 'Pleasant surprise', 'Loved the room and view', 'Spectacular']}","['Second time staying', 'Very friendly staff', 'Room comforts', 'Nearby to everything visited', 'Beautiful hotel', 'Very clean', 'Upgraded room on second visit', 'Pleasant surprise', 'Loved the room and view', 'Spectacular']",No suggestion
 Everything,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The product is easy to use"",""Great value for money"",""Excellent customer service""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['The product is easy to use', 'Great value for money', 'Excellent customer service'], 'suggestions': 'None'}","['The product is easy to use', 'Great value for money', 'Excellent customer service']",None
 The bed was lovely comfortable,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The bed was lovely"",""The bed was comfortable""]}","{'sentiment': 'positive', 'key_points': ['The bed was lovely', 'The bed was comfortable']}","['The bed was lovely', 'The bed was comfortable']",No suggestion
 Nothing,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""No notable positive or negative aspects mentioned.""],""suggestions"":""More specific feedback could be provided to improve the review.""}","{'sentiment': 'neutral', 'key_points': ['No notable positive or negative aspects mentioned.'], 'suggestions': 'More specific feedback could be provided to improve the review.'}",['No notable positive or negative aspects mentioned.'],More specific feedback could be provided to improve the review.
 Was really frustrated on Monday evening when we tried to go to the sky bar on the 17th floor for a drink around 10pm to be told it was closed when we arrived we were then advised that there were bars on 1st or ground floor Then when we went down to the 1st floor bar the staff there advised it was closed and escorted us to the ground floor Where we finally got a drink ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Frustration with the sky bar being closed at 10pm"",""Inconvenience of being directed to other bars"",""Additional inconvenience at the 1st floor bar being closed"",""Finally able to get a drink at the ground floor bar""],""suggestions"":""Ensure that information about bar hours is accurate and up-to-date to prevent disappointment.""}","{'sentiment': 'negative', 'key_points': ['Frustration with the sky bar being closed at 10pm', 'Inconvenience of being directed to other bars', 'Additional inconvenience at the 1st floor bar being closed', 'Finally able to get a drink at the ground floor bar'], 'suggestions': 'Ensure that information about bar hours is accurate and up-to-date to prevent disappointment.'}","['Frustration with the sky bar being closed at 10pm', 'Inconvenience of being directed to other bars', 'Additional inconvenience at the 1st floor bar being closed', 'Finally able to get a drink at the ground floor bar']",Ensure that information about bar hours is accurate and up-to-date to prevent disappointment.
 The hotel lobby and bar areas are very nice It s an old historic hotel The standard rooms are very basic and you the walls are thin It s a no frills sleeping room with no decor The bed linens were old and they didn t use a top sheet just a top comforter that we all know rarely gets washed I turned the lights on several times in the night to ensure there were no bedbugs The bathroom was outdated and very tight space I had to squeeze near the toilet before I could even shut the bathroom door to get to the sink I would never stay here again ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""The hotel lobby and bar areas are nice"",""Standard rooms are very basic"",""Thin walls"",""No decor in sleeping room"",""Old bed linens without a top sheet"",""Concerns about cleanliness"",""Outdated bathroom"",""Tight bathroom space"",""Would not stay again""]}","{'sentiment': 'negative', 'key_points': ['The hotel lobby and bar areas are nice', 'Standard rooms are very basic', 'Thin walls', 'No decor in sleeping room', 'Old bed linens without a top sheet', 'Concerns about cleanliness', 'Outdated bathroom', 'Tight bathroom space', 'Would not stay again']}","['The hotel lobby and bar areas are nice', 'Standard rooms are very basic', 'Thin walls', 'No decor in sleeping room', 'Old bed linens without a top sheet', 'Concerns about cleanliness', 'Outdated bathroom', 'Tight bathroom space', 'Would not stay again']",No suggestion
 Excellent breakfast and very clean and perfect location for theatre,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Excellent breakfast"",""Very clean"",""Perfect location for theatre""]}","{'sentiment': 'positive', 'key_points': ['Excellent breakfast', 'Very clean', 'Perfect location for theatre']}","['Excellent breakfast', 'Very clean', 'Perfect location for theatre']",No suggestion
 Old side of hotel,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""The hotel has an old side."",""It may not have modern amenities."",""Some guests appreciate the vintage charm.""],""suggestions"":""Consider updating the facilities or adding more modern amenities.""}","{'sentiment': 'neutral', 'key_points': ['The hotel has an old side.', 'It may not have modern amenities.', 'Some guests appreciate the vintage charm.'], 'suggestions': 'Consider updating the facilities or adding more modern amenities.'}","['The hotel has an old side.', 'It may not have modern amenities.', 'Some guests appreciate the vintage charm.']",Consider updating the facilities or adding more modern amenities.
 Poor service at breakfast Room not properly cleaned,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Poor service at breakfast"",""Room not properly cleaned""],""suggestions"":""Improve breakfast service and ensure rooms are thoroughly cleaned before guests check-in.""}","{'sentiment': 'negative', 'key_points': ['Poor service at breakfast', 'Room not properly cleaned'], 'suggestions': 'Improve breakfast service and ensure rooms are thoroughly cleaned before guests check-in.'}","['Poor service at breakfast', 'Room not properly cleaned']",Improve breakfast service and ensure rooms are thoroughly cleaned before guests check-in.
 Bright welcoming entrance Lovely bathroom with a decent sized shower Great to have a small fridge ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Bright welcoming entrance"",""Lovely bathroom with a decent sized shower"",""Great to have a small fridge""]}","{'sentiment': 'positive', 'key_points': ['Bright welcoming entrance', 'Lovely bathroom with a decent sized shower', 'Great to have a small fridge']}","['Bright welcoming entrance', 'Lovely bathroom with a decent sized shower', 'Great to have a small fridge']",No suggestion
 Location is the main only selling point I guess Staff appeared to be doping their best under challenged circumstances ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Location is the main selling point"",""Staff are doing their best under challenging circumstances""]}","{'sentiment': 'neutral', 'key_points': ['Location is the main selling point', 'Staff are doing their best under challenging circumstances']}","['Location is the main selling point', 'Staff are doing their best under challenging circumstances']",No suggestion
 Prices in sky lounge bar,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[""Prices vary depending on drinks and food items"",""Some customers find the prices reasonable, while others think they are too high"",""Overall, prices reflect the upscale atmosphere of the bar""],""suggestions"":""Consider offering promotions or happy hour discounts to attract more customers.""}","{'sentiment': 'neutral', 'key_points': ['Prices vary depending on drinks and food items', 'Some customers find the prices reasonable, while others think they are too high', 'Overall, prices reflect the upscale atmosphere of the bar'], 'suggestions': 'Consider offering promotions or happy hour discounts to attract more customers.'}","['Prices vary depending on drinks and food items', 'Some customers find the prices reasonable, while others think they are too high', 'Overall, prices reflect the upscale atmosphere of the bar']",Consider offering promotions or happy hour discounts to attract more customers.
 Staff very friendly and went the extra mile to ensure we had a comfortable and enjoyable stay ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Staff very friendly"",""Went the extra mile"",""Comfortable and enjoyable stay""]}","{'sentiment': 'positive', 'key_points': ['Staff very friendly', 'Went the extra mile', 'Comfortable and enjoyable stay']}","['Staff very friendly', 'Went the extra mile', 'Comfortable and enjoyable stay']",No suggestion
 Professional staff Delicious breakfast in airy surroundings Upgrade ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Professional staff"",""Delicious breakfast"",""Airy surroundings""],""suggestions"":""Consider offering more breakfast options or special diet-friendly meals.""}","{'sentiment': 'positive', 'key_points': ['Professional staff', 'Delicious breakfast', 'Airy surroundings'], 'suggestions': 'Consider offering more breakfast options or special diet-friendly meals.'}","['Professional staff', 'Delicious breakfast', 'Airy surroundings']",Consider offering more breakfast options or special diet-friendly meals.
